TASK,TYPE,ITEM_ID,ANNOTATOR_ID,TIME,SYSTEM_0,SCORE_0_A,SCORE_0_B,SYSTEM_1,SCORE_1_A,SCORE_1_B,SYSTEM_2,SCORE_2_A,SCORE_2_B,SYSTEM_3,SCORE_3_A,SCORE_3_B,SYSTEM_4,SCORE_4_A,SCORE_4_B
WMT08 French-English Europarl,RANK,753,0,153,saar-contrast,1,,cmu-statxfer,4,,rbmt6,5,,cued,2,,rbmt5,3,
WMT08 French-English Europarl,RANK,1752,0,205,dcu,5,,cmu-statxfer,4,,rbmt3,2,,uedin,3,,saar-contrast,1,
WMT08 French-English Europarl,RANK,1952,0,177,saar-contrast,4,,uedin,3,,rbmt5,1,,cmu-statxfer,5,,rbmt4,2,
WMT08 French-English Europarl,RANK,902,0,214,cued,1,,rbmt4,5,,systran,3,,saar,2,,rbmt3,4,
WMT08 French-English Europarl,RANK,1482,0,138,rbmt5,4,,lium-systran,5,,uedin,1,,saar-contrast,2,
WMT08 French-English Europarl,RANK,602,0,162,lium-systran,2,,uedin,3,,dcu,2,,rbmt5,5,,saar,1,
WMT08 French-English Europarl,RANK,1300,0,99,rbmt6,5,,saar-contrast,1,,limsi,3,,saar,4,,rbmt5,2,
WMT08 French-English Europarl,RANK,689,0,177,rbmt5,3,,lium-systran,1,,saar,3,,limsi,2,,dcu,5,
WMT08 French-English Europarl,RANK,1264,0,213,dcu,4,,saar-contrast,1,,cued,3,,rbmt5,5,,lium-systran,2,
WMT08 French-English Europarl,RANK,1752,0,94,dcu,5,,cmu-statxfer,3,,rbmt3,2,,uedin,4,,saar-contrast,1,
WMT08 French-English Europarl,RANK,996,5,77,rbmt5,3,,rbmt6,4,,ucl,4,,uedin,2,,saar,4,
WMT08 French-English Europarl,RANK,172,5,67,cued,2,,rbmt5,3,,rbmt4,2,,systran,4,,rbmt6,3,
WMT08 French-English Europarl,RANK,202,5,75,saar-contrast,1,,cmu-statxfer,4,,rbmt3,3,,rbmt6,3,,dcu,1,
WMT08 French-English Europarl,RANK,77,5,75,ucl,5,,cmu-statxfer,5,,cued,3,,dcu,3,,saar,4,
WMT08 French-English Europarl,RANK,1652,5,182,rbmt6,3,,cmu-statxfer,4,,rbmt5,5,,limsi,3,,cued,4,
WMT08 French-English Europarl,RANK,652,5,102,saar-contrast,3,,lium-systran,1,,cued,2,,uedin,2,,rbmt4,1,
WMT08 French-English Europarl,RANK,1102,5,108,cued,3,,rbmt6,4,,systran,4,,uedin,3,,rbmt3,4,
WMT08 French-English Europarl,RANK,1085,5,99,limsi,2,,systran,2,,dcu,3,,rbmt4,4,,cmu-statxfer,2,
WMT08 French-English Europarl,RANK,1416,5,132,rbmt5,2,,rbmt4,5,,saar,3,,saar-contrast,3,,dcu,2,
WMT08 French-English Europarl,RANK,172,5,65,cued,2,,rbmt5,4,,rbmt4,1,,systran,3,,rbmt6,4,
WMT08 French-English Europarl,RANK,652,5,103,uedin,2,,cmu-statxfer,3,,rbmt3,5,,dcu,1,,cued,1,
WMT08 French-English Europarl,RANK,1702,5,39,uedin,3,,dcu,3,,limsi,1,,rbmt6,1,,saar-contrast,1,
WMT08 French-English Europarl,RANK,1162,5,86,rbmt6,2,,dcu,2,,rbmt3,3,,cued,1,,rbmt5,3,
WMT08 French-English Europarl,RANK,1952,5,82,dcu,3,,systran,2,,limsi,2,,saar,2,,cmu-statxfer,4,
WMT08 French-English Europarl,RANK,104,5,85,ucl,3,,lium-systran,1,,saar,2,,rbmt5,1,,limsi,1,
WMT08 French-English Europarl,RANK,52,5,49,ucl,3,,saar,2,,saar-contrast,1,,cmu-statxfer,3,,lium-systran,1,
WMT08 French-English Europarl,RANK,159,5,25,uedin,1,,lium-systran,2,,dcu,1,,rbmt4,3,,cued,2,
WMT08 French-English Europarl,RANK,1777,5,71,rbmt5,3,,rbmt6,4,,lium-systran,1,,saar-contrast,1,,rbmt4,1,
WMT08 French-English Europarl,RANK,638,5,170,lium-systran,4,,limsi,3,,systran,3,,rbmt3,2,,cmu-statxfer,1,
WMT08 French-English Europarl,RANK,1702,5,30,uedin,3,,dcu,3,,limsi,2,,rbmt6,2,,saar-contrast,2,
