ps1_judgement_id	testset	ps1_id	langsrc	ps2_id	rank	tgt-1_score	tgt-2_score	ps2_judgement_id	langtgt	src-1	src-2	tgt-1	tgt-2	ref	
string	string	string	string	string	discrete	string	string	continuous	string	string	string	string	string	string	
m	m	m	m	m	c	m	m		m	m	m	m	m	m	
328	wmt12qe-training	328	es	329	1	4.0	5.0	329	en	Around 19 gunmen are apparently using the hostages as a human shield in their escape from the police.	Local negotiators are now trying to arrange the release of the remaining hostages.	Alrededor de 19 de pistoleros aparentemente están utilizando los rehenes como escudo humano en sus escapar de la policía.	Los negociadores locales están intentando organizar la liberación de los rehenes.		
328	wmt12qe-training	328	es	330	1	4.0	5.0	330	en	Around 19 gunmen are apparently using the hostages as a human shield in their escape from the police.	According to AFP, the gunmen are part of the New People's Army (NPA), which is the armed faction of the Communist Party of the Philippines (CPP).	Alrededor de 19 de pistoleros aparentemente están utilizando los rehenes como escudo humano en sus escapar de la policía.	Según AFP, los pistoleros forman parte del Nuevo Ejército Popular (NPA), que es la facción armada del Partido Comunista de Filipinas (CPP).		
328	wmt12qe-training	328	es	331	-1	4.0	2.5	331	en	Around 19 gunmen are apparently using the hostages as a human shield in their escape from the police.	According to AP, the police had originally been chasing the kidnappers following violence that occurred as accounts were settled between two local family clans.	Alrededor de 19 de pistoleros aparentemente están utilizando los rehenes como escudo humano en sus escapar de la policía.	Según AP, la policía había sido persiguiendo a los secuestradores tras la violencia que se produjo como cuentas fueron resueltas entre dos clanes familiares locales.		
328	wmt12qe-training	328	es	332	1	4.0	4.8	332	en	Around 19 gunmen are apparently using the hostages as a human shield in their escape from the police.	In the province of Maguindanao, in the south of the Philippines, martial law has been declared due to the recent massacre which left 57 people dead.	Alrededor de 19 de pistoleros aparentemente están utilizando los rehenes como escudo humano en sus escapar de la policía.	En la provincia de Maguindanao, en el sur de Filipinas, la ley marcial ha sido declarado debido a la reciente masacre que dejó 57 muertos.		
328	wmt12qe-training	328	es	333	1	4.0	4.5	333	en	Around 19 gunmen are apparently using the hostages as a human shield in their escape from the police.	The governor of this southern Filipino province has been arrested on suspicion of involvement in the massacre, together with his father Andal Ampatuan, the patriarch of the influential Ampatuan family.	Alrededor de 19 de pistoleros aparentemente están utilizando los rehenes como escudo humano en sus escapar de la policía.	El gobernador de la provincia del sur de filipinos ha sido detenido bajo sospecha de participación en la masacre, junto con su padre Andal Ampatuan, el patriarca de la familia Ampatuan influyentes.		
328	wmt12qe-training	328	es	334	1	4.0	5.0	334	en	Around 19 gunmen are apparently using the hostages as a human shield in their escape from the police.	Muslim separatists are also active on Mindanao.	Alrededor de 19 de pistoleros aparentemente están utilizando los rehenes como escudo humano en sus escapar de la policía.	Los separatistas musulmanes también están activos en Mindanao.		
328	wmt12qe-training	328	es	335	1	4.0	4.2	335	en	Around 19 gunmen are apparently using the hostages as a human shield in their escape from the police.	But on Tuesday, these separatists renewed peace talks with the Filipino government.	Alrededor de 19 de pistoleros aparentemente están utilizando los rehenes como escudo humano en sus escapar de la policía.	Pero el martes, estos separatistas la reanudación de las conversaciones de paz con el Gobierno filipino.		
328	wmt12qe-training	328	es	336	1	4.0	5.0	336	en	Around 19 gunmen are apparently using the hostages as a human shield in their escape from the police.	The story of South Africa affects everyone, says Morgan Freeman alias Mandela	Alrededor de 19 de pistoleros aparentemente están utilizando los rehenes como escudo humano en sus escapar de la policía.	La historia de Sudáfrica afecta a todo el mundo, dice Morgan Freeman alias Mandela		
328	wmt12qe-training	328	es	337	0	4.0	4.0	337	en	Around 19 gunmen are apparently using the hostages as a human shield in their escape from the police.	In the next few days, the new Hollywood film Invictus by Clint Eastwood will hit American cinemas, depicting part of the life of the former South African president Nelson Mandela.	Alrededor de 19 de pistoleros aparentemente están utilizando los rehenes como escudo humano en sus escapar de la policía.	En los próximos días, la nueva película de Hollywood Invictus por Clint Eastwood afectará a los cines estadounidenses, que representan una parte de la vida del ex presidente sudafricano Nelson Mandela.		
