tgt-2_parse-JJ	tgt-2_berkeley-best-parse-confidence_ratio	tgt-1_parse-RB	tgt-1_tri-prob_ratio	tgt-2_ibm1	tgt-2_parse-VP_ratio	tgt-2_parse-ADVP	tgt-2_parse-ADVP_ratio	src_parse-dot	tgt-1_length	tgt-2_berkeley-loglikelihood	langsrc	src_parse-JJ	src_unk	tgt-2_parse-PP_ratio	tgt-2_orig_rank	src_parse-ADVP	src_length	tgt-2_unk	tgt-2_parse-RB_ratio	tgt-2_parse-VP	tgt-2_parse-dot_ratio	judgement_id	tgt-1_unk_ratio	tgt-1_parse-comma_ratio	segment_id	tgt-1_system	tgt-2_parse-DT_ratio	tgt-2_prob_ratio	tgt-1_parse-SBAR_ratio	tgt-2_parse-S_ratio	tgt-2_predicted_rank	src_parse-PP	tgt-1_ibm1	tgt-2_berkeley-avg-confidence_ratio	tgt-2_parse-dot	tgt-2_berkeley-n	tgt-1_parse-JJ	src_bi-prob	tgt-2_parse-VB_ratio	testset	src_tri-prob	tgt-1_parse-ADVP_ratio	tgt-1_uni-prob_ratio	tgt-2_parse-PP	tgt-1_parse-PP_ratio	tgt-2_parse-JJ_ratio	tgt-2_parse-NP_ratio	tgt-1_prob	src_berkeley-best-parse-confidence	src_parse-SBAR	tgt-1_parse-VB_ratio	tgt-2_tri-prob_ratio	tgt-1_berkeley-loglikelihood	tgt-2_bi-prob	tgt-1_parse-DT	tgt-1_berkeley-best-parse-confidence	tgt-2_length	tgt-2_parse-RB	src_uni-prob	src_berkeley-tree	tgt-2_berkeley-n_ratio	tgt-2_system	tgt-1_parse-dot_ratio	tgt-1_parse-comma	tgt-2_berkeley-avg-confidence	langtgt	src_parse-RB	tgt-1_berkeley-avg-confidence	tgt-2_berkeley-loglikelihood_ratio	rank	tgt-2_parse-SBAR	tgt-1_parse-PRP	tgt-1_parse-dot	tgt-2_unk_ratio	tgt-2_parse-VB	tgt-1_parse-JJ_ratio	tgt-1_parse-ADVP	tgt-1_parse-PRP_ratio	src_parse-NP	tgt-1_bi-prob_ratio	tgt-2_parse-PRP_ratio	src_parse-NN	tgt-1_orig_rank	tgt-1_berkeley-n_ratio	tgt-1_parse-NP	tgt-1_tri-prob	tgt-1_parse-NP_ratio	tgt-2_berkeley-best-parse-confidence	src_prob	tgt-1_uni-prob	tgt-1_bi-prob	tgt-2_tri-prob	tgt-1_parse-NN	src_parse-DT	tgt-1_berkeley-loglikelihood_ratio	tgt-2_parse-NP	tgt-1_parse-VP	tgt-2_parse-comma	tgt-1_parse-VP_ratio	tgt-2_bi-prob_ratio	tgt-1_parse-DT_ratio	tgt-1_parse-VB	tgt-2_parse-NN	tgt-1_berkeley-avg-confidence_ratio	tgt-1_parse-RB_ratio	tgt-2_length_ratio	tgt-1_prob_ratio	tgt-1_parse-S	id	src_berkeley-loglikelihood	tgt-1_parse-NN_ratio	src_parse-comma	tgt-2_parse-SBAR_ratio	tgt-2_uni-prob	tgt-2_uni-prob_ratio	tgt-2_parse-DT	tgt-2_parse-S	tgt-2_parse-PRP	document_id	tgt-2_parse-comma_ratio	tgt-1_parse-SBAR	tgt-1_unk	tgt-1_berkeley-best-parse-confidence_ratio	tgt-1_berkeley-n	tgt-1_predicted_rank	src_berkeley-avg-confidence	tgt-2_prob	tgt-1_berkeley-tree	src_parse-VP	tgt-1_parse-PP	tgt-1_parse-S_ratio	src_berkeley-n	tgt-2_berkeley-tree	tgt-1_length_ratio	src_parse-S	src_parse-VB	tgt-2_parse-NN_ratio	src_parse-PRP	judge_id	src	tgt-1	tgt-2	ref	
d	d	d	d	c	d	d	d	d	d	d	d	d	d	d	d	d	d	c	d	d	d	d	d	d	d	d	d	d	d	d	d	d	c	d	d	c	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	c	d	d	d	d	d	d	d	d	d	d	d	d	d	c	d	d	d	d	d	d	d	d	c	d	c	d	d	d	d	d	c	d	d	d	d	d	d	d	d	d	c	d	d	d	c	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	c	d	c	d	d	d	d	d	d	d	d	d	c	d	d	d	d	d	string	string	string	string	
m	m	m	m		m	m	m	m	m	m	m	m	m	m	m	m	m		m	m	m	m	m	m	m	m	m	m	m	m	m	m		m	m		m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m	m		m	m	m	m	m	m	m	m	c	m	m	m	m		m	m	m	m	m	m	m	m		m		m	m	m	m	m		m	m	m	m	m	m	m	m	m		m	m	m		m	m	m	m	m	m	m	m	m	m	m	m	m	m	m		m		m	m	m	m	m	m	m	m	m		m	m	m	m	m	m	m	m	m	
1	0.913586191033	1	1.16897987311	-92.8052	1.5	0	inf	0	24	-177.8379379256134	en	1	21	1.5	3	0	22	22	inf	4	inf	372	0.913043478261	inf	16	koc	2.0	1.0	inf	2.0	3	3	-86.7789	0.0	0	1000	1	-419.422351122	1.0		-321.90646404	inf	0.95731289657	2	0.75	1.0	1.0	-1.0	-164.93698752273724	0	0.727272727273	0.93852131272	-177.21038932395226	-455.574005723	1	-176.45467488094224	23	0	-570.676405907	(S (S (VP (VBN Exiled) (PP (TO to) (NP (NNP Costa) (NNP Rica,))))) (NP (PRP he)) (VP (VP (VBD had) (VP (VBN made) (NP (DT a) (NN surprise) (NN return)) (PP (IN on) (NP (NNP September) (CD 21st))))) (CC and) (VP (VBD had) (VP (VBN taken) (NP (NN refuge)) (PP (IN at) (NP (DT the) (JJ Brazilian) (NNP Embassy.))))))) )	1.0	lium	inf	0	-Inf	fr	0	-Inf	0.917707583249	1	1	1	0	0.954545454545	8	1.0	0	1.0	6	1.09828033405	1.0	11	5	1.0	6	-275.373829305	1.0	-180.53796033873016	-1.0	-596.123177648	-381.890067697	-342.993238062	13	2	0.920957427193	6	7	0	0.857142857143	0.920645923282	2.0	11	15	0.0	0.0	0.95652173913	1.0	1	905	-163.20322422371393	0.846153846154	0	0.0	-660.330096841	0.864228979774	1	1	1	lesechos/2009/12/10/218330	inf	0	23	0.934727218953	1000	5	-193.5579929361938	-1.0	(ROOT (SENT (VPpart (V Exiled) (PP (P au) (NP (N Costa) (NP (N Rica,))))) (VN (CL il) (V avait) (V fait)) (NP (D une) (N surprise)) (PP (P en) (NP (N retour))) (PP (P sur) (NP (N septembre) (N 21st))) (C et) (VN (V avait) (V pris)) (PP (P au) (NP (N refuge))) (VPinf (P de) (VN (V l'ambassade)) (ADV brésilienne.)))) )	6	4	2.0	1000	(SENT (NP (N responsable) (VPpart (V exilé) (PP (P au) (NP (N Costa))) (Ssub (C Rica,) (VN (CL il) (V avait) (V fait)) (NP (D un) (N retour) (N surprise)) (NP (N le) (A 21) (N septembre)) (C et) (VN (V avait) (V trouvé)) (NP (N refuge)) (PP (P à) (NP (N l'ambassade) (N brésilienne.))))))) )	0.916666666667	2	8	0.733333333333	1	ARBUOXKEFAF9Y	Exiled to Costa Rica, he had made a surprise return on September 21st and had taken refuge at the Brazilian Embassy.	Exiled au Costa Rica, il avait fait une surprise en retour sur septembre 21st et avait pris au refuge de l'ambassade brésilienne.	responsable exilé au Costa Rica, il avait fait un retour surprise le 21 septembre et avait trouvé refuge à l'ambassade brésilienne.		
1	0.96374089658	0	0.78377428245	-75.1760	1.5	0	inf	0	22	-169.39437313422104	en	1	21	0.75	5	0	22	21	inf	4	inf	369	1.0	inf	16	_ref	2.0	1.0	inf	2.0	5	3	-99.2215	0.0	0	1000	1	-419.422351122	1.0		-321.90646404	inf	0.875888394256	4	1.0	1.0	1.2	-1.0	-164.93698752273724	0	0.727272727273	1.03346744006	-162.98585971535636	-418.470965743	1	-164.7627357998636	22	0	-570.676405907	(S (S (VP (VBN Exiled) (PP (TO to) (NP (NNP Costa) (NNP Rica,))))) (NP (PRP he)) (VP (VP (VBD had) (VP (VBN made) (NP (DT a) (NN surprise) (NN return)) (PP (IN on) (NP (NNP September) (CD 21st))))) (CC and) (VP (VBD had) (VP (VBN taken) (NP (NN refuge)) (PP (IN at) (NP (DT the) (JJ Brazilian) (NNP Embassy.))))))) )	1.0	eu	inf	0	-Inf	fr	0	-Inf	0.963451271752	-1	0	1	0	1.0	8	1.0	0	1.0	6	0.836251483544	1.0	11	1	1.0	5	-410.71322605	1.2	-171.14245966739958	-1.0	-651.540093064	-501.550501704	-311.481960207	10	2	1.00133364028	5	7	0	0.857142857143	1.00227348002	2.0	11	13	0.0	inf	1.0	1.0	1	905	-163.20322422371393	1.1	0	inf	-602.444709659	0.947267685743	1	1	1	lesechos/2009/12/10/218330	inf	0	21	1.00105759183	1000	1	-193.5579929361938	-1.0	(ROOT (SENT (VPpart (V Exilé) (PP (P au) (NP (N Costa))) (NP (N Rica,))) (VN (CL il) (V était) (V revenu)) (PP (P par) (NP (N surprise))) (NP (D le) (A 21) (N septembre)) (C et) (VN (V s'était) (V réfugié)) (VPinf (P à) (VN (V l'ambassade)) (PP (P du) (NP (N Brésil.)))))) )	6	3	2.0	1000	(ROOT (SENT (VPpart (V Exilés) (PP (P à) (N Costa) (N Rica))) (VN (CL il) (V avait) (V fait)) (NP (D une) (N surprise) (N rendement) (PP (P des) (NP (A 21) (N septembre)))) (C et) (VN (V avaient) (V pris)) (NP (N refuge)) (PP (P à) (NP (N l'Ambassade) (PP (P du) (NP (N Brésil.))))))) )	1.0	2	8	0.846153846154	1	A28J4MYWQT5ZFP	Exiled to Costa Rica, he had made a surprise return on September 21st and had taken refuge at the Brazilian Embassy.	Exilé au Costa Rica, il était revenu par surprise le 21 septembre et s'était réfugié à l'ambassade du Brésil.	Exilés à Costa Rica il avait fait une surprise rendement des 21 septembre et avaient pris refuge à l'Ambassade du Brésil.		
1	0.931778970445	0	1.03346744006	-82.2778	1.0	0	inf	0	22	-174.79083071542973	en	1	21	0.75	5	0	22	24	inf	6	inf	364	1.0	inf	16	eu	0.666666666667	1.0	inf	1.0	5	3	-75.1760	0.0	0	1000	1	-419.422351122	0.888888888889		-321.90646404	inf	0.947267685743	4	0.75	1.0	1.0	-1.0	-164.93698752273724	0	1.0	1.00049277735	-169.39437313422104	-423.984675765	1	-171.14245966739958	25	0	-570.676405907	(S (S (VP (VBN Exiled) (PP (TO to) (NP (NNP Costa) (NNP Rica,))))) (NP (PRP he)) (VP (VP (VBD had) (VP (VBN made) (NP (DT a) (NN surprise) (NN return)) (PP (IN on) (NP (NNP September) (CD 21st))))) (CC and) (VP (VBD had) (VP (VBN taken) (NP (NN refuge)) (PP (IN at) (NP (DT the) (JJ Brazilian) (NNP Embassy.))))))) )	1.0	dfki	inf	0	-Inf	fr	0	-Inf	0.933705867497	-1	0	1	0	0.875	9	1.0	0	1.0	6	1.00227348002	1.0	11	4	1.0	5	-311.481960207	1.2	-177.0129963804143	-1.0	-602.444709659	-418.470965743	-321.747913957	13	2	0.963451271752	6	4	0	1.5	0.98923941146	2.0	8	14	0.0	inf	0.88	1.0	1	905	-163.20322422371393	0.846153846154	0	inf	-629.531168818	0.906510168477	3	2	1	lesechos/2009/12/10/218330	inf	0	21	0.96374089658	1000	4	-193.5579929361938	-1.0	(ROOT (SENT (VPpart (V Exilés) (PP (P à) (N Costa) (N Rica))) (VN (CL il) (V avait) (V fait)) (NP (D une) (N surprise) (N rendement) (PP (P des) (NP (A 21) (N septembre)))) (C et) (VN (V avaient) (V pris)) (NP (N refuge)) (PP (P à) (NP (N l'Ambassade) (PP (P du) (NP (N Brésil.))))))) )	6	4	2.0	1000	(SENT (VPpart (V Exilé) (PP (P à) (NP (N Costa) (N Rica,))) (Sint (VN (CL il) (V avait) (V fait)) (NP (D un) (N retour) (PP (P de) (NP (N surprise))) (PP (P sur) (NP (D le) (A 21) (N septembre))))) (C et) (VPpart (NP (D le) (N refuge)) (VN (V eu) (V pris)) (PP (P à) (NP (N l'Ambassade) (N Brésilienne.)))))) )	1.0	2	8	0.785714285714	1	A15M0HCQK10D9P	Exiled to Costa Rica, he had made a surprise return on September 21st and had taken refuge at the Brazilian Embassy.	Exilés à Costa Rica il avait fait une surprise rendement des 21 septembre et avaient pris refuge à l'Ambassade du Brésil.	Exilé à Costa Rica, il avait fait un retour de surprise sur le 21 septembre et le refuge eu pris à l'Ambassade Brésilienne.		
1	0.96374089658	0	1.00733872245	-75.1760	1.5	0	inf	0	24	-169.39437313422104	en	1	21	0.75	5	0	22	21	inf	4	inf	369	0.913043478261	inf	16	uedin	2.0	1.0	0.0	2.0	5	3	-93.0432	0.0	0	1000	3	-419.422351122	1.0		-321.90646404	inf	0.962496562234	4	1.0	1.0	1.2	-1.0	-164.93698752273724	0	1.0	1.03346744006	-165.0938016129371	-418.470965743	2	-167.63853839090325	22	0	-570.676405907	(S (S (VP (VBN Exiled) (PP (TO to) (NP (NNP Costa) (NNP Rica,))))) (NP (PRP he)) (VP (VP (VBD had) (VP (VBN made) (NP (DT a) (NN surprise) (NN return)) (PP (IN on) (NP (NNP September) (CD 21st))))) (CC and) (VP (VBD had) (VP (VBN taken) (NP (NN refuge)) (PP (IN at) (NP (DT the) (JJ Brazilian) (NNP Embassy.))))))) )	1.0	eu	inf	0	-Inf	fr	0	-182.06913716685307	0.963451271752	-1	0	1	0	1.0	8	0.333333333333	0	1.0	6	1.01096392408	1.0	11	3	1.0	6	-319.56129241	1.0	-171.14245966739958	-1.0	-592.912669301	-414.873707294	-311.481960207	12	2	0.988548465353	5	4	0	1.5	1.00227348002	1.0	8	13	1.06310161045	inf	1.0	1.0	1	905	-163.20322422371393	0.916666666667	0	inf	-602.444709659	0.947267685743	1	1	1	lesechos/2009/12/10/218330	inf	1	23	0.98388466701	1000	3	-193.5579929361938	-1.0	(SENT (VPpart (V Exilé) (PP (P au) (NP (N Costa))) (Ssub (C Rica,) (VN (CL il) (V a) (V fait)) (NP (D un) (N retour) (AP (A surprise,))) (NP (D le) (A 21) (N septembre)) (C et) (VN (V a) (V trouvé)) (NP (N refuge)) (PP (P à) (NP (N l'ambassade) (PP (P du) (NP (N Brésil.)))))))) )	6	3	2.0	1000	(ROOT (SENT (VPpart (V Exilés) (PP (P à) (N Costa) (N Rica))) (VN (CL il) (V avait) (V fait)) (NP (D une) (N surprise) (N rendement) (PP (P des) (NP (A 21) (N septembre)))) (C et) (VN (V avaient) (V pris)) (NP (N refuge)) (PP (P à) (NP (N l'Ambassade) (PP (P du) (NP (N Brésil.))))))) )	0.916666666667	2	8	0.846153846154	1	A28J4MYWQT5ZFP	Exiled to Costa Rica, he had made a surprise return on September 21st and had taken refuge at the Brazilian Embassy.	Exilé au Costa Rica, il a fait un retour surprise, le 21 septembre et a trouvé refuge à l'ambassade du Brésil.	Exilés à Costa Rica il avait fait une surprise rendement des 21 septembre et avaient pris refuge à l'Ambassade du Brésil.		
1	1.00105759183	0	1.01738883535	-99.2215	0.857142857143	0	inf	0	23	-162.98585971535636	en	1	21	1.0	1	0	22	21	inf	7	inf	369	0.954545454545	inf	16	cmu-heafield-combo	2.0	1.0	0.0	2.0	1	3	-83.3078	0.0	0	1000	1	-419.422351122	0.727272727273		-321.90646404	inf	0.978206533577	3	1.0	1.0	1.2	-1.0	-164.93698752273724	0	1.0	0.78377428245	-167.28864101246026	-501.550501704	2	-170.23297729099215	22	0	-570.676405907	(S (S (VP (VBN Exiled) (PP (TO to) (NP (NNP Costa) (NNP Rica,))))) (NP (PRP he)) (VP (VP (VBD had) (VP (VBN made) (NP (DT a) (NN surprise) (NN return)) (PP (IN on) (NP (NNP September) (CD 21st))))) (CC and) (VP (VBD had) (VP (VBN taken) (NP (NN refuge)) (PP (IN at) (NP (DT the) (JJ Brazilian) (NNP Embassy.))))))) )	1.0	_ref	inf	0	-Inf	fr	0	-Inf	1.00133364028	1	0	1	0	1.0	11	1.0	0	1.0	6	1.02836347708	1.0	11	2	1.0	6	-316.404557288	1.0	-164.7627357998636	-1.0	-583.39050734	-407.854188204	-410.71322605	13	2	0.975578636039	5	4	0	1.5	0.836251483544	1.0	8	10	0.0	inf	1.0	1.0	1	905	-163.20322422371393	0.846153846154	0	inf	-651.540093064	0.875888394256	1	1	1	lesechos/2009/12/10/218330	inf	1	22	0.968889754191	1000	2	-193.5579929361938	-1.0	(SENT (VPpart (V Exilé) (PP (P au) (NP (N Costa))) (Ssub (C Rica,) (VN (CL il) (V a) (V fait)) (NP (D un) (N retour) (N surprise)) (NP (D le) (A 21) (N septembre)) (C et) (VN (V a) (V trouvé)) (NP (N refuge)) (PP (P à) (NP (N l'ambassade) (PP (P du) (NP (N Brésil.)))))))) )	6	3	2.0	1000	(ROOT (SENT (VPpart (V Exilé) (PP (P au) (NP (N Costa))) (NP (N Rica,))) (VN (CL il) (V était) (V revenu)) (PP (P par) (NP (N surprise))) (NP (D le) (A 21) (N septembre)) (C et) (VN (V s'était) (V réfugié)) (VPinf (P à) (VN (V l'ambassade)) (PP (P du) (NP (N Brésil.)))))) )	0.95652173913	2	8	1.1	1	A28J4MYWQT5ZFP	Exiled to Costa Rica, he had made a surprise return on September 21st and had taken refuge at the Brazilian Embassy.	Exilé au Costa Rica, il a fait un retour surprise le 21 septembre et a trouvé refuge à l'ambassade du Brésil.	Exilé au Costa Rica, il était revenu par surprise le 21 septembre et s'était réfugié à l'ambassade du Brésil.		
1	0.937810581488	0	1.01738883535	-88.8642	0.857142857143	0	inf	0	23	-174.29956564473088	en	1	21	1.0	4	0	22	22	inf	7	inf	367	0.954545454545	inf	16	rwth-combo	1.0	1.0	0.0	2.0	4	3	-83.3078	1.01966986181	0	1000	1	-419.422351122	0.727272727273		-321.90646404	inf	0.978206533577	3	1.0	1.0	1.0	-1.0	-164.93698752273724	0	1.0	0.979405205934	-167.28864101246026	-428.198349237	2	-170.23297729099215	23	0	-570.676405907	(S (S (VP (VBN Exiled) (PP (TO to) (NP (NNP Costa) (NNP Rica,))))) (NP (PRP he)) (VP (VP (VBD had) (VP (VBN made) (NP (DT a) (NN surprise) (NN return)) (PP (IN on) (NP (NNP September) (CD 21st))))) (CC and) (VP (VBD had) (VP (VBN taken) (NP (NN refuge)) (PP (IN at) (NP (DT the) (JJ Brazilian) (NNP Embassy.))))))) )	1.0	rali	inf	0	-189.82417759556702	fr	0	-Inf	0.936337526832	-1	1	1	0	0.954545454545	11	1.0	0	1.0	6	1.02836347708	1.0	11	2	1.0	6	-316.404557288	1.0	-175.87452176225918	-1.0	-583.39050734	-407.854188204	-328.67546761	13	2	0.975578636039	6	4	0	1.5	0.979504829641	1.0	8	12	0.0	inf	0.95652173913	1.0	1	905	-163.20322422371393	0.846153846154	0	0.0	-612.168878198	0.932220546047	2	1	1	lesechos/2009/12/10/218330	inf	1	22	0.968889754191	1000	2	-193.5579929361938	-1.0	(SENT (VPpart (V Exilé) (PP (P au) (NP (N Costa))) (Ssub (C Rica,) (VN (CL il) (V a) (V fait)) (NP (D un) (N retour) (N surprise)) (NP (D le) (A 21) (N septembre)) (C et) (VN (V a) (V trouvé)) (NP (N refuge)) (PP (P à) (NP (N l'ambassade) (PP (P du) (NP (N Brésil.)))))))) )	6	3	2.0	1000	(SENT (VPpart (V Exilé) (PP (P au) (NP (N Costa))) (Ssub (C Rica,) (VN (CL il) (V avait) (V fait)) (NP (D une) (N surprise)) (VPinf (VN (V revenir)) (NP (D le) (A 21er) (N septembre))) (C et) (VN (V a) (V trouvé)) (NP (N refuge)) (PP (P à) (NP (N l'ambassade) (PP (P du) (NP (N Brésil.)))))))) )	0.95652173913	2	8	0.916666666667	1	A1N6YNMKT07EM1	Exiled to Costa Rica, he had made a surprise return on September 21st and had taken refuge at the Brazilian Embassy.	Exilé au Costa Rica, il a fait un retour surprise le 21 septembre et a trouvé refuge à l'ambassade du Brésil.	Exilé au Costa Rica, il avait fait une surprise revenir le 21er septembre et a trouvé refuge à l'ambassade du Brésil.		
3	0.98388466701	0	1.01738883535	-93.0432	1.5	0	inf	0	23	-165.0938016129371	en	1	21	1.0	3	0	22	23	inf	4	inf	369	0.954545454545	inf	16	cmu-heafield-combo	1.0	1.0	0.0	2.0	3	3	-83.3078	1.06310161045	0	1000	1	-419.422351122	1.0		-321.90646404	inf	0.978206533577	3	1.0	0.333333333333	1.0	-1.0	-164.93698752273724	0	1.0	1.00733872245	-167.28864101246026	-414.873707294	2	-170.23297729099215	24	0	-570.676405907	(S (S (VP (VBN Exiled) (PP (TO to) (NP (NNP Costa) (NNP Rica,))))) (NP (PRP he)) (VP (VP (VBD had) (VP (VBN made) (NP (DT a) (NN surprise) (NN return)) (PP (IN on) (NP (NNP September) (CD 21st))))) (CC and) (VP (VBD had) (VP (VBN taken) (NP (NN refuge)) (PP (IN at) (NP (DT the) (JJ Brazilian) (NNP Embassy.))))))) )	1.0	uedin	inf	0	-182.06913716685307	fr	0	-Inf	0.988548465353	-1	1	1	0	0.913043478261	8	1.0	0	1.0	6	1.02836347708	1.0	11	2	1.0	6	-316.404557288	1.0	-167.63853839090325	-1.0	-583.39050734	-407.854188204	-319.56129241	13	2	0.975578636039	6	4	0	1.5	1.01096392408	1.0	8	12	0.0	inf	0.916666666667	1.0	1	905	-163.20322422371393	0.846153846154	0	0.0	-592.912669301	0.962496562234	2	1	1	lesechos/2009/12/10/218330	inf	1	22	0.968889754191	1000	2	-193.5579929361938	-1.0	(SENT (VPpart (V Exilé) (PP (P au) (NP (N Costa))) (Ssub (C Rica,) (VN (CL il) (V a) (V fait)) (NP (D un) (N retour) (N surprise)) (NP (D le) (A 21) (N septembre)) (C et) (VN (V a) (V trouvé)) (NP (N refuge)) (PP (P à) (NP (N l'ambassade) (PP (P du) (NP (N Brésil.)))))))) )	6	3	2.0	1000	(SENT (VPpart (V Exilé) (PP (P au) (NP (N Costa))) (Ssub (C Rica,) (VN (CL il) (V a) (V fait)) (NP (D un) (N retour) (AP (A surprise,))) (NP (D le) (A 21) (N septembre)) (C et) (VN (V a) (V trouvé)) (NP (N refuge)) (PP (P à) (NP (N l'ambassade) (PP (P du) (NP (N Brésil.)))))))) )	0.95652173913	2	8	0.916666666667	1	A28J4MYWQT5ZFP	Exiled to Costa Rica, he had made a surprise return on September 21st and had taken refuge at the Brazilian Embassy.	Exilé au Costa Rica, il a fait un retour surprise le 21 septembre et a trouvé refuge à l'ambassade du Brésil.	Exilé au Costa Rica, il a fait un retour surprise, le 21 septembre et a trouvé refuge à l'ambassade du Brésil.		
1	0.968889754191	0	0.756334099524	-83.3078	1.5	0	inf	0	23	-167.28864101246026	en	1	21	1.0	1	0	22	22	inf	4	inf	368	0.954545454545	inf	16	onlineB	1.0	1.0	0.0	2.0	1	3	-92.6367	0.0	0	1000	0	-419.422351122	1.0		-321.90646404	inf	0.836074093943	3	1.0	1.0	1.0	-1.0	-164.93698752273724	0	0.8	1.01738883535	-182.18272039606904	-407.854188204	1	-183.83495679715782	23	0	-570.676405907	(S (S (VP (VBN Exiled) (PP (TO to) (NP (NNP Costa) (NNP Rica,))))) (NP (PRP he)) (VP (VP (VBD had) (VP (VBN made) (NP (DT a) (NN surprise) (NN return)) (PP (IN on) (NP (NNP September) (CD 21st))))) (CC and) (VP (VBD had) (VP (VBN taken) (NP (NN refuge)) (PP (IN at) (NP (DT the) (JJ Brazilian) (NNP Embassy.))))))) )	1.0	cmu-heafield-combo	inf	0	-Inf	fr	0	-Inf	0.975578636039	1	1	1	0	0.954545454545	8	inf	0	1.0	6	0.807985297186	1.0	11	4	1.0	6	-425.614109218	1.0	-170.23297729099215	-1.0	-682.566784501	-519.096513987	-316.404557288	13	2	0.895821644714	6	7	0	0.857142857143	1.02836347708	2.0	10	13	0.0	inf	0.95652173913	1.0	1	905	-163.20322422371393	0.846153846154	0	0.0	-583.39050734	0.978206533577	2	1	1	lesechos/2009/12/10/218330	inf	1	22	0.897201437617	1000	4	-193.5579929361938	-1.0	(ROOT (SENT (NP (VPpart (V Exilé) (PP (P au) (NP (N Costa))) (Ssub (C Rica,) (VN (CL il) (V avait) (V fait)) (NP (D un) (N retour) (N surprise) (PP (P au) (NP (N Septembre) (N 21ème)))))) (C et) (NP (N s'était))) (VN (V réfugié)) (VPinf (P à) (VN (V l'ambassade)) (PP (P du) (NP (N Brésil.)))))) )	6	3	2.0	1000	(SENT (VPpart (V Exilé) (PP (P au) (NP (N Costa))) (Ssub (C Rica,) (VN (CL il) (V a) (V fait)) (NP (D un) (N retour) (N surprise)) (NP (D le) (A 21) (N septembre)) (C et) (VN (V a) (V trouvé)) (NP (N refuge)) (PP (P à) (NP (N l'ambassade) (PP (P du) (NP (N Brésil.)))))))) )	0.95652173913	2	8	0.846153846154	1	A3EFRC6PXOW1P	Exiled to Costa Rica, he had made a surprise return on September 21st and had taken refuge at the Brazilian Embassy.	Exilé au Costa Rica, il avait fait un retour surprise au Septembre 21ème et s'était réfugié à l'ambassade du Brésil.	Exilé au Costa Rica, il a fait un retour surprise le 21 septembre et a trouvé refuge à l'ambassade du Brésil.		
